,vid_id,iou
422,ucHq8B0-1BA,0.04957810341930335
423,b3mJ5rPzDv8,0.049952571126126444
424,QuEHZ2Y3H40,0.05020874121999565
425,Ydep68S6ViE,0.050323168308378304
426,RAw8sshR51c,0.05093767241251276
427,hsI_BHN5h_0,0.05120408645325028
428,R7iFa9OpoTY,0.05129640169977665
429,D-0MV6LRvbs,0.051899378822797576
430,v-LmMLpvsbk,0.05197000564167392
431,wdD-UHM8rTg,0.05200145438556429
432,3ve9a8YKP90,0.05228745000508403
433,iBz_YrU-T80,0.05253321409482382
434,O-YKLVm0ciI,0.05258134568652418
435,aYSJn94g_Io,0.052677234093792984
436,akwJwcvfjLA,0.0534060334540716
437,Kkkrap77n5M,0.05342663106912948
438,3iHHhCHcT8I,0.05356328587981258
439,WebWWFKJ4b0,0.05357786381282836
440,xabaKyhx7cg,0.05392947163268906
441,puK4NxGKNdQ,0.05400096970349898
442,JLDZdxTf5TA,0.054077527464040445
443,t3dHI5TeY7I,0.054108903365938
444,l4C-l6XeNRc,0.05420936724666252
445,IQ4SUx8ythk,0.054956250990377764
446,lKDTjsH9XtU,0.05498210522182452
447,bBtzyRzk0UM,0.05508734805832982
448,VXCV3KUtCdk,0.055407621150062966
449,WPrlU-Im5Ko,0.05571566463117577
450,Q3tPDohXUYc,0.055717640163557416
451,uG_hgODoDes,0.055990108238973345
452,-MldnTjJ-zE,0.05671145192915164
453,r1y_ASZDdEo,0.05673069632244072
454,ycA2gqWhPGk,0.05687580788444698
455,mwUP1yZQsh0,0.05702401857424397
456,PrR-kkpy1c8,0.05710493843619747
457,mucFmOzqWW8,0.057305133362410596
458,CQ4dPckD_Xc,0.0578987678712694
459,an5XI45pIl8,0.0581972373361617
460,L36MIRUpcrI,0.058432007440593584
461,msd9vrplD-I,0.05850243794292298
462,zMWhT5Rv6WE,0.058696121800548035
463,lcEGoZAC7GI,0.05870955913289975
464,bodOObk5K00,0.059119298456402354
465,tS2d90ZGmeA,0.059935480966220554
466,9ukVV07rszg,0.060035087334331654
467,8-QcL1k5n6k,0.06010705071429839
468,MSPslSgkp60,0.06014689712984366
469,yPA6klGWEsc,0.060386253615173274
470,6gyD-Mte2ZM,0.06049194963842246
471,G5frRzhSNJ8,0.061731480023137254
472,59NxymNdzBE,0.06202995192119977
473,RgMAHuMVRcU,0.06205137864543164
474,gmnwqOPcOo0,0.062391058272926014
475,ot-Y1sa-ujc,0.062403483333102056
476,CXbVcrVgNzQ,0.06311659028129812
477,ZWzPz-LX9Qg,0.06333748848248562
478,mdu7eHlbDwc,0.06384536401417491
479,qx1FNJxiUuE,0.06413573789579083
480,aotVhoXjqS0,0.06430729915084316
481,oS7Twj3Pou0,0.06432938930502533
482,Ny8NDMWfGJk,0.06433673190738037
483,ejIEsnkvLWY,0.06443849152595385
484,hHMqyl_Dugs,0.06460832886468666
485,6pnabYJdqxc,0.06460848140149598
486,KxAxMZ6dYa4,0.06469116514307972
487,HCntSYltlmA,0.06577995141643017
488,d950IKYTYY0,0.06594026237122066
489,xRuZMDClaQM,0.06616806841387143
490,Uv_6SJlvCl0,0.06617984279060958
491,UqSjGwxBuqA,0.06654897473347866
492,sIYRsGZm2XY,0.06682942924273476
493,cyhWzLsM29E,0.0670372297244641
494,x18x9BKMAlk,0.06708424941761572
495,MjmDj36sVxM,0.0673037035393646
496,asLRIsN6wLQ,0.067576974785868
497,5TMKHLOACYg,0.06798246056929388
498,0w7cO4tscBc,0.06818226676435465
499,NBawYEfglow,0.06837555329912665
500,aBdrTqSnWbw,0.06871595383574433
501,9FK7tjzBKio,0.06908339859286071
502,6YIZ00dNpMU,0.06912070724731462
503,zzci2xZ011A,0.0692946737032886
504,dNgXkPmvU-c,0.06931005051833658
505,RG98kemBdyg,0.06934026202655676
506,y9bLCC26MGQ,0.06934228816580564
507,CsvEXvHlO3M,0.07002601449177034
508,iEaiLh3GZA8,0.07039226507629655
509,u_HDCcby_B0,0.07116845356215343
510,Oa26_SgrY8w,0.07126563638047471
511,0hdwFR5qWz4,0.07128038553229506
512,HytB88Fhqw8,0.07136613185462116
513,2oNsMva04MM,0.07198522440222033
514,FrRKm_V0lZU,0.07225187886458881
515,-nlAKyoyIuU,0.07241451938940588
516,iHO42zwYsu0,0.07266035970974839
517,R-RQx5pbMvo,0.07266192425047992
518,y56qXoJh6U0,0.07278903520498985
519,pn41XETdQB4,0.07321020541269753
520,32z1yiC0Co0,0.07341456553293856
